scanlinePosition, scanline
0.0309619, 21.9439
0.0310621, 8.83476
0.0311623, 4.14273
0.0312625, 1.94708
0.0313627, 1.19628
0.0314629, 0.86353
0.0315631, 0.465079
0.0316633, 0.329525
0.0317635, 0.327166
0.0318637, 0.267148
0.0319639, 0.288026
0.0320641, 0.128172
0.0321643, 0.133317
0.0322645, 0.163802
0.0323647, 0.0454856
0.0324649, 0.0899428
0.0325651, 0.0481295
0.0326653, 0.153753
0.0327655, 0.243236
0.0328657, 0.233954
0.0329659, 0.531335
0.0330661, 1.65757
0.0331663, 4.56918
0.0332665, 8.92881
0.0333667, 12.5652
0.0334669, 13.0197
0.0335671, 10.8613
0.0336673, 7.26756
0.0337675, 4.09288
0.0338677, 2.05863
0.0339679, 1.03546
0.0340681, 0.516669
0.0341683, 0.292101
0.0342685, 0.147068
0.0343687, 0.086778
0.0344689, 0.055906
0.0345691, 0.037474
0.0346693, 0.0262
0.0347695, 0.018528
0.0348697, 0.013318
0.0349699, 0.009806
0.0350701, 0.006898
0.0351703, 0.005174
0.0352705, 0.003674
0.0353707, 0.002712
0.0354709, 0.00197
0.0355711, 0.001312
0.0356713, 0.001024
0.0357715, 0.00061
0.0358717, 0.000514
0.0359719, 0.000356
0.0360721, 0.000312
0.0361723, 0.000288
0.0362725, 0.000364
0.0363727, 0.000372
0.0364729, 0.000592
0.0365731, 0.000618
0.0366733, 0.000868
0.0367735, 0.00102
0.0368737, 0.001308
0.0369739, 0.001548
0.0370741, 0.001832
0.0371743, 0.00217
0.0372746, 0.002558
0.0373747, 0.002944
0.0374749, 0.00346
0.0375752, 0.003932
0.0376754, 0.0046
0.0377756, 0.005268
0.0378758, 0.006048
0.037976, 0.007052
0.0380762, 0.008062
0.0381764, 0.009418
0.0382766, 0.010884
0.0383768, 0.012802
0.038477, 0.01494
0.0385772, 0.01776
0.0386774, 0.02106
0.0387776, 0.025336
0.0388778, 0.030762
0.038978, 0.037854
0.0390782, 0.047026
0.0391784, 0.059308
0.0392786, 0.076352
0.0393788, 0.10029
0.039479, 0.135102
0.0395792, 0.187636
0.0396794, 0.270884
0.0397796, 0.412226
0.0398798, 0.66815
0.03998, 1.20433
0.0400802, 2.55302
0.0401804, 7.74761
0.0402806, 25.533
0.0403808, 60.5397
0.040481, 101.045
0.0405812, 120.454
0.0406814, 104.686
0.0407816, 67.1695
0.0408818, 32.1433
0.040982, 12.7358
0.0410822, 5.23999
0.0411824, 2.62599
0.0412826, 1.50043
0.0413828, 0.816282
0.041483, 0.457963
0.0415832, 0.364828
0.0416834, 0.252338
0.0417836, 0.187563
0.0418838, 0.127773
0.041984, 0.146419
0.0420842, 0.177197
0.0421844, 0.13266
0.0422846, 0.264274
0.0423848, 0.722986
0.042485, 2.13285
0.0425852, 5.17779
0.0426854, 9.1376
0.0427856, 11.4773
0.0428858, 10.6448
0.042986, 7.32562
0.0430862, 3.96216
0.0431864, 1.83735
0.0432866, 0.925291
0.0433868, 0.478195
0.043487, 0.18079
0.0435872, 0.088702
0.0436874, 0.046106
0.0437876, 0.02544
0.0438878, 0.013058
0.043988, 0.005682
0.0440882, 0.000706
0.0441884, 0.002162
0.0442886, 0.00426
0.0443888, 0.005608
0.044489, 0.00627
0.0445892, 0.00721
0.0446894, 0.007298
0.0447896, 0.007694
0.0448898, 0.007714
0.04499, 0.007668
0.0450902, 0.007876
0.0451904, 0.007554
0.0452906, 0.007714
0.0453908, 0.007388
0.045491, 0.007454
0.0455912, 0.007316
0.0456914, 0.007072
0.0457916, 0.00702
0.0458918, 0.00679
0.045992, 0.006726
0.0460922, 0.006606
0.0461924, 0.006432
0.0462926, 0.006286
0.0463928, 0.006232
0.046493, 0.006086
0.0465932, 0.005898
0.0466934, 0.005804
0.0467936, 0.005696
0.0468938, 0.005582
0.046994, 0.005444
0.0470942, 0.0054
0.0471944, 0.005244
0.0472946, 0.005182
0.0473948, 0.005052
0.047495, 0.004956
0.0475952, 0.00491
0.0476954, 0.004776
0.0477956, 0.004714
